financial_year,category,month,cgst,sgst,igst,cess,total
2024-25,domestic,2024-06,32386.310000000005,40714.72999999998,47269.89,12188.300000000003,132800.08
2024-25,domestic,2024-07,30862.02,40289.389999999985,49437.26000000002,11923.369999999999,134036.33
2024-25,domestic,2024-08,31421.52,38410.84999999999,44592.94,11119.650000000001,124985.46000000004
2024-25,domestic,2024-09,33821.13999999999,39282.92999999999,46086.73000000001,11058.65,127849.83
2024-25,domestic,2024-10,34140.96,41863.56999999999,54878.150000000016,11687.82,142250.68000000002
2024-25,domestic,2024-11,32836.23,43046.84999999999,50092.719999999994,12397.630000000001,139678.16000000003
2024-25,domestic,2024-12,36076.96000000001,40498.94000000001,47782.97000000001,11470.8,132588.94
2024-25,domestic,2025-01,35204.399999999994,44941.75,53622.65,12482.920000000002,147124.28000000006
2024-25,domestic,2025-02,38144.5,43704.049999999996,50048.81000000001,12987.459999999997,141944.72000000003
2024-25,domestic,2025-03,38144.5,49890.799999999996,50071.01000000001,11115.87,149222.18
2024-25,gross_revenue,2024-04,32409.039999999997,53538.310000000005,99623.19532065,13260.059264699994,210267.08458534995
2024-25,gross_revenue,2024-05,32627.160000000003,40265.36,87780.9656121,12283.529923400001,172738.89553550002
2024-25,gross_revenue,2024-06,32386.310000000005,40714.72999999998,87310.25274910001,13160.322889300003,173812.4656384
2024-25,gross_revenue,2024-07,30862.02,40289.389999999985,96446.64136550002,12952.869109599998,182075.2104751
2024-25,gross_revenue,2024-08,31421.52,38410.84999999999,93620.77168440001,12067.919746800002,174961.56143120004
2024-25,gross_revenue,2024-09,33821.13999999999,39282.92999999999,90594.1668678,11941.4404872,173240.057355
2024-25,gross_revenue,2024-10,34140.96,41863.56999999999,99111.44874800002,12550.3173313,187346.47607930002
2024-25,gross_revenue,2024-11,32836.23,43046.84999999999,91828.24643095,13252.972601200001,182269.02903215005
2024-25,gross_revenue,2024-12,36076.96000000001,40498.94000000001,91220.58907199501,12300.835859399998,176856.594931395
2024-25,gross_revenue,2025-01,35204.399999999994,44941.75,101075.31169870001,13411.959094500002,195505.98079320005
2024-25,gross_revenue,2025-02,38144.5,43704.049999999996,90870.18116553001,13867.805401799997,183646.43656733003
2024-25,gross_revenue,2025-03,38144.5,49890.799999999996,95853.32585830001,12252.5745821,196141.2004404
2025-26,domestic,2025-04,35433.75,43901.59000000001,69504.38,,177510.54
2025-26,domestic,2025-05,34557.63,43267.869999999995,58766.679999999986,,138102.01999999996
2025-26,domestic,2025-06,35470.01,44059.16999999999,48680.179999999986,,126505.68000000004
2025-26,domestic,2025-07,34076.09,42854.490000000005,51910.210000000014,,131439.39
2025-26,domestic,2025-08,33645.53,41835.65000000001,48639.280000000006,,125569.86
2025-26,domestic,2025-09,36547.30000000001,45134.090000000004,49852.89,,125334.07000000002
2025-26,domestic,2025-10,34843.30000000001,42522.41999999999,55646.84,,137328.22999999992
2025-26,domestic,2025-11,34288.74,41367.70000000001,46933.87000000001,,124299.59
2025-26,domestic,2025-12,38791.83000000001,47817.46,46917.26999999998,,122573.71
2025-26,domestic,2026-01,37472.479999999996,45900.409999999996,54522.47,,141131.76000000004
2025-26,domestic,2026-02,37472.479999999996,45900.409999999996,52399.369999999995,,135772.26
2025-26,gross_revenue,2025-04,35433.75,43901.59000000001,115258.38,,223264.54
2025-26,gross_revenue,2025-05,34557.63,43267.869999999995,108836.39108929998,,188171.73108929995
2025-26,gross_revenue,2025-06,35470.01,44059.16999999999,93279.696060327,,171105.19606032706
2025-26,gross_revenue,2025-07,34076.09,42854.490000000005,103536.05925418001,,183065.23925418002
2025-26,gross_revenue,2025-08,33645.53,41835.65000000001,97185.770319204,,174116.350319204
2025-26,gross_revenue,2025-09,36547.30000000001,45134.090000000004,101883.414295491,,177364.59429549103
2025-26,gross_revenue,2025-10,34843.30000000001,42522.41999999999,106443.234906131,,188124.62490613092
2025-26,gross_revenue,2025-11,34288.74,41367.70000000001,92910.04710820001,,170275.7671082
2025-26,gross_revenue,2025-12,38791.83000000001,47817.46,98893.84973637998,,174550.28973638001
2025-26,gross_revenue,2026-01,37472.479999999996,45900.409999999996,106775.12626515099,,193384.41626515103
2025-26,gross_revenue,2026-02,37472.479999999996,45900.409999999996,100236.38673972499,,183609.276739725
